자치구,CCTV_총계,범죄예방_총계,방범용,어린이보호구역,공원놀이터,쓰레기무단투기,시설안전_화재예방,교통단속,교통정보수집_분석,기타
종로구,2939.0,2627.0,1794.0,105.0,833.0,0.0,58.0,149.0,0.0,0.0
중구,3276.0,2714.0,2274.0,79.0,299.0,62.0,221.0,333.0,8.0,0.0
용산구,3628.0,3218.0,2681.0,165.0,372.0,0.0,5.0,405.0,0.0,0.0
성동구,4682.0,4122.0,3013.0,425.0,431.0,253.0,117.0,443.0,0.0,0.0
광진구,4749.0,4479.0,3106.0,642.0,667.0,64.0,174.0,96.0,0.0,0.0
동대문구,3846.0,3602.0,2777.0,309.0,484.0,32.0,1.0,0.0,229.0,14.0
중랑구,5392.0,5009.0,4336.0,141.0,521.0,11.0,79.0,304.0,0.0,0.0
성북구,5074.0,4764.0,3615.0,484.0,665.0,0.0,36.0,256.0,18.0,0.0
강북구,4322.0,4168.0,3190.0,356.0,622.0,0.0,49.0,105.0,0.0,0.0
도봉구,2820.0,2631.0,1813.0,196.0,622.0,0.0,74.0,115.0,0.0,0.0
노원구,4109.0,3697.0,2118.0,359.0,1114.0,106.0,252.0,160.0,0.0,0.0
은평구,5719.0,5046.0,3894.0,150.0,1002.0,0.0,289.0,376.0,0.0,8.0
서대문구,4337.0,3658.0,2469.0,136.0,1053.0,0.0,258.0,421.0,0.0,0.0
마포구,3843.0,3697.0,2863.0,229.0,565.0,40.0,0.0,146.0,0.0,0.0
양천구,4854.0,4464.0,2918.0,840.0,706.0,0.0,0.0,198.0,0.0,192.0
강서구,4351.0,4187.0,3185.0,310.0,692.0,0.0,0.0,164.0,0.0,0.0
구로구,5881.0,5070.0,3657.0,581.0,792.0,40.0,318.0,493.0,0.0,0.0
금천구,3724.0,3372.0,2520.0,295.0,489.0,68.0,111.0,241.0,0.0,0.0
영등포구,5172.0,4539.0,3742.0,287.0,510.0,0.0,5.0,613.0,0.0,15.0
동작구,4156.0,3632.0,2484.0,444.0,685.0,19.0,200.0,76.0,248.0,0.0
관악구,7036.0,5871.0,4455.0,235.0,1034.0,147.0,944.0,221.0,0.0,0.0
서초구,6032.0,3916.0,2896.0,203.0,817.0,0.0,879.0,1237.0,0.0,0.0
강남구,8365.0,7277.0,5363.0,1111.0,771.0,32.0,164.0,850.0,41.0,33.0
송파구,4683.0,4032.0,2696.0,480.0,856.0,0.0,212.0,439.0,0.0,0.0
강동구,4496.0,4342.0,3414.0,268.0,660.0,0.0,0.0,154.0,0.0,0.0
